price,number_of_reviews,minimum_nights,reviews_per_month,availability_365
138.86666666666667,6.066666666666666,2.4,0.08,0.0
320.3448275862069,3.3275862068965516,12.46551724137931,0.05137931034482759,33.48275862068966
519.5625,5.125,6.625,0.084375,91.5625
138.2608695652174,2.9130434782608696,6.782608695652174,0.04521739130434783,62.21739130434783
146.62962962962962,2.185185185185185,9.407407407407407,0.03740740740740741,34.333333333333336
138.1917808219178,5.561643835616438,4.561643835616438,0.0873972602739726,32.863013698630134
143.9111111111111,3.411111111111111,3.522222222222222,0.05644444444444444,23.988888888888887
121.79439252336448,2.4205607476635516,7.663551401869159,0.04308411214953271,19.850467289719628
136.90049751243782,3.517412935323383,5.303482587064677,0.0600497512437811,27.36318407960199
136.90232558139536,3.86046511627907,5.7953488372093025,0.06674418604651162,33.38139534883721
171.67410714285714,5.482142857142857,4.848214285714286,0.08986607142857142,45.42857142857143
134.44520547945206,4.986301369863014,4.1438356164383565,0.08527397260273972,25.86986301369863
158.906103286385,4.206572769953052,5.032863849765258,0.07464788732394366,18.544600938967136
191.07471264367817,4.362068965517241,5.589080459770115,0.07704022988505747,23.833333333333332
246.54054054054055,4.986486486486487,5.8108108108108105,0.0891891891891892,27.14864864864865
115.5,3.746153846153846,3.5,0.07461538461538463,7.7846153846153845
121.15503875968992,4.891472868217054,4.89922480620155,0.09596899224806202,16.527131782945737
136.5084745762712,5.555084745762712,5.584745762711864,0.10860169491525423,30.122881355932204
121.32793522267207,5.198380566801619,5.412955465587045,0.10894736842105263,18.481781376518217
126.64666666666666,5.723333333333334,4.736666666666666,0.11520000000000001,22.31
133.95977011494253,4.956896551724138,6.416666666666667,0.10419540229885058,25.7183908045977
166.93040293040292,7.450549450549451,8.16117216117216,0.15534798534798536,35.336996336996336
156.9206349206349,7.765873015873016,8.742063492063492,0.15765873015873014,53.53968253968254
147.24157303370785,8.769662921348315,6.707865168539326,0.18207865168539325,44.19662921348315
194.72395833333334,8.270833333333334,5.796875,0.17765625,64.39583333333333
147.9943661971831,7.9915492957746475,6.208450704225352,0.16898591549295774,37.969014084507045
136.72727272727272,8.363636363636363,8.803030303030303,0.1887878787878788,59.09090909090909
129.63366336633663,9.326732673267326,9.287128712871286,0.21465346534653465,45.40594059405941
158.2085889570552,8.730061349693251,6.950920245398773,0.20730061349693252,49.39877300613497
126.07326007326007,9.68131868131868,7.516483516483516,0.2134798534798535,48.80952380952381
